LanePointX,LanePointY
-1.646000,6.000000
-1.646009,6.000000
-1.645997,6.000000
-1.645989,6.000000
-1.645984,6.000000
-1.645976,6.000000
-1.645966,6.000000
-1.645947,6.000000
-1.645920,6.000000
-1.645880,6.000000
-1.645826,6.000000
-1.640606,6.000000
-1.639866,6.000000
-1.639062,6.000000
-1.638188,6.000000
-1.637245,6.000000
-1.636226,6.000000
-1.635131,6.000000
-1.633958,6.000000
-1.632703,6.000000
-1.631350,6.000000
-1.629933,6.000000
-1.628413,6.000000
-1.626802,6.000000
-1.625091,6.000000
-1.623285,6.000000
-1.578651,6.000000
-1.574737,6.000000
-1.570673,6.000000
-1.566456,6.000000
-1.562087,6.000000
-1.557558,6.000000
-1.552871,6.000000
-1.548021,6.000000
-1.542998,6.000000
-1.537816,6.000000
-1.532460,6.000000
-1.526926,6.000000
-1.521223,6.000000
-1.515334,6.000000
-1.509261,6.000000
-1.385047,6.000000
-1.375445,6.000000
-1.365615,6.000000
-1.355549,6.000000
-1.345245,6.000000
-1.334694,6.000000
-1.323904,6.000000
-1.312899,5.999998
-1.301665,5.999997
-1.290221,5.999993
-1.278503,5.999990
-1.266604,5.999984
-1.254433,5.999979
-1.242029,5.999972
-1.229404,5.999966
-0.993619,5.999788
-0.976720,5.999777
-0.959575,5.999768
-0.942163,5.999758
-0.924439,5.999752
-0.906477,5.999745
-0.888208,5.999741
-0.869717,5.999737
-0.850938,5.999737
-0.831924,5.999738
-0.812617,5.999742
-0.793094,5.999748
-0.773253,5.999759
-0.753233,5.999771
-0.732906,5.999788
-0.374292,6.000821
-0.349875,6.000953
-0.324972,6.001100
-0.300218,6.001253
-0.275158,6.001421
-0.249607,6.001601
-0.224179,6.001794
-0.198272,6.002000
-0.172317,6.002222
-0.146055,6.002456
-0.119469,6.002709
-0.092857,6.002974
-0.065751,6.003262
-0.038669,6.003561
-0.011470,6.003880
0.454505,6.012057
0.485277,6.012798
0.516318,6.013577
0.547538,6.014386
0.578962,6.015233
0.610516,6.016111
0.642342,6.017032
0.674294,6.017984
0.706451,6.018980
0.738741,6.020010
0.771327,6.021088
0.803972,6.022200
0.837093,6.023370
0.869938,6.024563
0.903445,6.025823
1.457961,6.052876
1.494080,6.055076
1.530064,6.057332
1.566285,6.059656
1.602790,6.062064
2.976179,6.200592
3.017984,6.206499
3.060111,6.212577
3.102280,6.218768
3.144686,6.225123
3.187106,6.231591
3.886938,6.356994
3.932239,6.366404
3.976854,6.375824
4.022125,6.385559
4.067442,6.395464
4.113506,6.405717
4.158886,6.415984
4.204472,6.426486
4.250300,6.437214
4.296151,6.448142
