LanePointX,LanePointY
-1.646000,-6.000000
-1.646009,-6.000000
-1.645997,-6.000000
-1.645989,-6.000000
-1.645984,-6.000000
-1.645976,-6.000000
-1.645966,-6.000000
-1.645947,-6.000000
-1.645920,-6.000000
-1.645880,-6.000000
-1.645826,-6.000000
-1.640606,-6.000000
-1.639866,-6.000000
-1.639062,-6.000000
-1.638188,-6.000000
-1.637245,-6.000000
-1.636226,-6.000000
-1.635131,-6.000000
-1.633958,-6.000000
-1.632703,-6.000000
-1.631350,-6.000000
-1.629933,-6.000000
-1.628413,-6.000000
-1.626802,-6.000000
-1.625091,-6.000000
-1.623285,-6.000000
-1.578651,-6.000000
-1.574737,-6.000000
-1.570673,-6.000000
-1.566456,-6.000000
-1.562087,-6.000000
-1.557558,-6.000000
-1.552871,-6.000000
-1.548021,-6.000000
-1.542998,-6.000000
-1.537816,-6.000000
-1.532460,-6.000000
-1.526926,-6.000000
-1.521223,-6.000000
-1.515334,-6.000000
-1.509261,-6.000000
-1.385047,-6.000000
-1.375445,-6.000000
-1.365615,-6.000000
-1.355549,-6.000000
-1.345245,-6.000000
-1.334694,-6.000000
-1.323904,-6.000000
-1.312813,-6.000002
-1.301492,-6.000003
-1.289869,-6.000007
-1.277967,-6.000010
-1.265788,-6.000016
-1.253331,-6.000021
-1.240536,-6.000028
-1.227513,-6.000034
-0.975259,-6.000198
-0.956565,-6.000206
-0.937599,-6.000212
-0.918187,-6.000218
-0.898428,-6.000220
-0.878246,-6.000222
-0.857719,-6.000220
-0.836781,-6.000218
-0.815516,-6.000211
-0.793818,-6.000202
-0.771783,-6.000188
-0.749329,-6.000172
-0.726509,-6.000150
-0.703303,-6.000125
-0.679739,-6.000094
-0.248696,-5.998522
-0.218325,-5.998326
-0.187350,-5.998111
-0.156316,-5.997884
-0.124898,-5.997638
-0.092613,-5.997372
-0.060481,-5.997089
-0.027486,-5.996785
0.005570,-5.996460
0.039283,-5.996113
0.073412,-5.995740
0.107844,-5.995347
0.142918,-5.994924
0.178237,-5.994479
0.213709,-5.994007
0.844024,-5.981620
0.887138,-5.980472
0.930628,-5.979269
0.974724,-5.978008
1.019105,-5.976692
1.064031,-5.975316
1.109343,-5.973878
1.155203,-5.972376
1.201358,-5.970810
1.248077,-5.969176
1.295225,-5.967470
1.342841,-5.965695
1.391152,-5.963833
1.439449,-5.961915
1.488718,-5.959896
2.334987,-5.915032
2.392144,-5.911272
2.449086,-5.907424
2.506878,-5.903424
2.565124,-5.899287
2.624459,-5.894969
2.683562,-5.890557
2.743036,-5.886012
2.803152,-5.881302
2.863885,-5.876432
