LanePointX,LanePointY
-1.646000,-6.000000
-1.646009,-6.000000
-1.645997,-6.000000
-1.644504,-6.000000
-1.644186,-6.000000
-1.643827,-6.000000
-1.643420,-6.000000
-1.642966,-6.000000
-1.642460,-6.000000
-1.641899,-6.000000
-1.641281,-6.000000
-1.640605,-6.000000
-1.639865,-6.000000
-1.639060,-6.000000
-1.638187,-6.000000
-1.637244,-6.000000
-1.636225,-6.000000
-1.635132,-6.000000
-1.604930,-6.000000
-1.602111,-6.000000
-1.599164,-6.000000
-1.596085,-6.000000
-1.592875,-6.000000
-1.589520,-6.000000
-1.586040,-6.000000
-1.582418,-6.000000
-1.578648,-6.000000
-1.574731,-6.000000
-1.570670,-6.000000
-1.566454,-6.000000
-1.562085,-6.000000
-1.557556,-6.000000
-1.552861,-6.000000
-1.453801,-6.000000
-1.445959,-6.000000
-1.437912,-6.000000
-1.429655,-6.000000
-1.421164,-6.000000
-1.412466,-6.000000
-1.403555,-6.000000
-1.394399,-6.000000
-1.385042,-6.000000
-1.375443,-6.000000
-1.365600,-6.000000
-1.355524,-6.000000
-1.345239,-6.000000
-1.334686,-6.000000
-1.323904,-6.000000
-1.115788,-6.000000
-1.100442,-6.000000
-1.084779,-6.000000
-1.068821,-6.000000
-1.052583,-6.000000
-1.036027,-6.000000
-1.019159,-6.000000
-1.001977,-6.000000
-0.984503,-6.000000
-0.966689,-6.000000
-0.948578,-6.000000
-0.930163,-6.000000
-0.911420,-6.000000
-0.892339,-6.000000
-0.872929,-6.000000
-0.515656,-6.000000
-0.490279,-6.000000
-0.464504,-6.000000
-0.438281,-6.000000
-0.411819,-6.000000
-0.384850,-6.000000
-0.357537,-6.000000
-0.329865,-6.000000
-0.301754,-6.000000
-0.273261,-6.000000
-0.244379,-6.000000
-0.215069,-6.000000
-0.185372,-6.000000
-0.155262,-6.000000
-0.124764,-6.000000
0.421782,-6.000000
0.459707,-6.000000
0.498087,-6.000000
0.536940,-6.000000
0.576242,-6.000000
0.616237,-6.000000
0.656473,-6.000000
0.697115,-6.000000
0.738283,-6.000000
0.779990,-6.000000
0.822216,-6.000000
0.864880,-6.000000
0.908068,-6.000000
0.951730,-6.000000
0.995895,-6.000000
1.772110,-6.000000
1.825049,-6.000000
1.878084,-6.000000
1.932133,-6.000000
1.986690,-6.000000
2.041841,-6.000000
2.097529,-6.000000
2.153741,-6.000000
2.210452,-6.000000
2.267796,-6.000000
2.325624,-6.000000
2.384029,-6.000000
2.442989,-6.000000
2.502441,-6.000000
2.562449,-6.000000
3.596524,-6.000000
3.665846,-6.000000
3.735609,-6.000000
