LanePointX,LanePointY
-1.646000,6.000000
-1.646009,6.000000
-1.645997,6.000000
-1.645989,6.000000
-1.645984,6.000000
-1.645976,6.000000
-1.645966,6.000000
-1.645947,6.000000
-1.645920,6.000000
-1.641900,6.000000
-1.641282,6.000000
-1.640605,6.000000
-1.639866,6.000000
-1.639062,6.000000
-1.638188,6.000000
-1.637243,6.000000
-1.636224,6.000000
-1.635131,6.000000
-1.633956,6.000000
-1.632701,6.000000
-1.631359,6.000000
-1.629929,6.000000
-1.628411,6.000000
-1.626800,6.000000
-1.586042,6.000000
-1.582415,6.000000
-1.578646,6.000000
-1.574731,6.000000
-1.570673,6.000000
-1.566452,6.000000
-1.562087,6.000000
-1.557556,6.000000
-1.552867,6.000000
-1.548018,6.000000
-1.543006,6.000000
-1.537819,6.000000
-1.532460,6.000000
-1.526933,6.000000
-1.521225,6.000000
-1.403549,6.000000
-1.394412,6.000000
-1.385051,6.000000
-1.375450,6.000000
-1.365616,6.000000
-1.355551,6.000000
-1.345247,6.000000
-1.334691,6.000000
-1.323899,6.000000
-1.312860,6.000000
-1.301563,6.000000
-1.290026,6.000000
-1.278231,6.000000
-1.266164,6.000000
-1.253868,6.000000
-1.019133,6.000000
-1.001971,6.000000
-0.984495,6.000000
-0.966698,6.000000
-0.948582,6.000000
-0.930153,6.000000
-0.911401,6.000000
-0.892324,6.000000
-0.872921,6.000000
-0.853174,6.000000
-0.833125,6.000000
-0.812718,6.000000
-0.789083,6.000000
-0.770892,6.000000
-0.749490,6.000000
-0.358766,5.999959
-0.331317,5.999946
-0.303861,5.999936
-0.275950,5.999923
-0.247606,5.999912
-0.218994,5.999900
-0.190005,5.999890
-0.160714,5.999878
-0.131012,5.999871
-0.101001,5.999862
-0.070625,5.999858
-0.039956,5.999854
-0.008893,5.999856
0.022480,5.999858
0.054249,5.999866
0.610049,6.000981
0.648015,6.001149
0.686175,6.001337
0.724304,6.001537
0.763386,6.001763
0.802328,6.002002
0.841956,6.002268
0.881883,6.002551
0.922494,6.002865
0.963314,6.003197
1.004405,6.003560
1.045416,6.003941
1.087642,6.004363
1.129345,6.004802
1.171891,6.005282
1.904858,6.018175
1.953999,6.019401
2.004586,6.020704
2.053158,6.022018
2.103229,6.023418
2.153780,6.024896
2.204593,6.026432
2.255822,6.028050
2.307710,6.029742
2.359916,6.031519
2.412092,6.033352
2.464791,6.035282
2.517492,6.037273
2.570439,6.039354
2.623972,6.041524
3.526112,6.090525
3.585224,6.094630
3.644481,6.098857
3.704114,6.103240
3.764041,6.107762
3.824285,6.112444
3.884673,6.117260
3.945519,6.122254
