LanePointX,LanePointY
-1.646000,-2.000000
-1.646009,-2.000000
-1.645997,-2.000000
-1.645989,-2.000000
-1.645984,-2.000000
-1.645976,-2.000000
-1.645966,-2.000000
-1.645947,-2.000000
-1.645920,-2.000000
-1.641900,-2.000000
-1.641282,-2.000000
-1.640605,-2.000000
-1.639866,-2.000000
-1.639062,-2.000000
-1.638188,-2.000000
-1.637243,-2.000000
-1.636224,-2.000000
-1.635131,-2.000000
-1.633956,-2.000000
-1.632701,-2.000000
-1.631359,-2.000000
-1.629929,-2.000000
-1.628411,-2.000000
-1.626800,-2.000000
-1.586042,-2.000000
-1.582415,-2.000000
-1.578646,-2.000000
-1.574731,-2.000000
-1.570673,-2.000000
-1.566452,-2.000000
-1.562087,-2.000000
-1.557556,-2.000000
-1.552867,-2.000000
-1.548018,-2.000000
-1.543006,-2.000000
-1.537819,-2.000000
-1.532460,-2.000000
-1.526933,-2.000000
-1.521225,-2.000000
-1.403549,-2.000000
-1.394412,-2.000000
-1.385051,-2.000000
-1.375450,-2.000000
-1.365616,-2.000000
-1.355551,-2.000000
-1.345247,-2.000000
-1.334691,-2.000000
-1.323899,-2.000000
-1.312860,-2.000000
-1.301563,-2.000000
-1.290026,-2.000000
-1.278231,-2.000000
-1.266164,-2.000000
-1.253868,-2.000000
-1.019133,-2.000000
-1.001971,-2.000000
-0.984495,-2.000000
-0.966698,-2.000000
-0.948582,-2.000000
-0.930153,-2.000000
-0.911401,-2.000000
-0.892324,-2.000000
-0.872921,-2.000000
-0.853174,-2.000000
-0.833125,-2.000000
-0.812718,-2.000000
-0.789083,-2.000000
-0.770892,-2.000000
-0.749490,-2.000000
-0.357116,-2.000041
-0.329089,-2.000053
-0.301057,-2.000063
-0.272410,-2.000076
-0.243319,-2.000086
-0.213798,-2.000099
-0.183888,-2.000108
-0.153507,-2.000118
-0.122699,-2.000125
-0.091407,-2.000132
-0.059734,-2.000134
-0.027586,-2.000136
0.004976,-2.000132
0.038036,-2.000127
0.071515,-2.000115
0.671907,-1.998779
0.713901,-1.998579
0.756110,-1.998357
0.798517,-1.998119
0.841982,-1.997851
0.885530,-1.997566
0.929845,-1.997250
0.974741,-1.996910
1.020406,-1.996536
1.066559,-1.996136
1.113019,-1.995703
1.159645,-1.995243
1.207654,-1.994736
1.255331,-1.994206
1.303972,-1.993628
2.160818,-1.977729
2.219414,-1.976195
2.280051,-1.974552
2.338298,-1.972899
2.398637,-1.971126
2.459589,-1.969256
2.521171,-1.967302
2.583288,-1.965245
2.646519,-1.963080
2.710174,-1.960810
2.774112,-1.958452
2.838729,-1.955974
2.903669,-1.953401
2.968956,-1.950714
3.035285,-1.947896
4.179506,-1.882747
4.256214,-1.877181
4.333461,-1.871420
4.411290,-1.865443
