LanePointX,LanePointY
-1.646000,2.000000
-1.646009,2.000000
-1.645997,2.000000
-1.645989,2.000000
-1.645984,2.000000
-1.645976,2.000000
-1.645966,2.000000
-1.645947,2.000000
-1.645920,2.000000
-1.641900,2.000000
-1.641282,2.000000
-1.640605,2.000000
-1.639866,2.000000
-1.639062,2.000000
-1.638188,2.000000
-1.637243,2.000000
-1.636224,2.000000
-1.635131,2.000000
-1.633956,2.000000
-1.632701,2.000000
-1.631359,2.000000
-1.629929,2.000000
-1.628411,2.000000
-1.626800,2.000000
-1.586042,2.000000
-1.582415,2.000000
-1.578646,2.000000
-1.574731,2.000000
-1.570673,2.000000
-1.566452,2.000000
-1.562087,2.000000
-1.557556,2.000000
-1.552867,2.000000
-1.548018,2.000000
-1.543006,2.000000
-1.537819,2.000000
-1.532460,2.000000
-1.526933,2.000000
-1.521225,2.000000
-1.403549,2.000000
-1.394412,2.000000
-1.385051,2.000000
-1.375450,2.000000
-1.365616,2.000000
-1.355551,2.000000
-1.345247,2.000000
-1.334691,2.000000
-1.323899,2.000000
-1.312860,2.000000
-1.301563,2.000000
-1.290026,2.000000
-1.278231,2.000000
-1.266164,2.000000
-1.253868,2.000000
-1.019133,2.000000
-1.001971,2.000000
-0.984495,2.000000
-0.966698,2.000000
-0.948582,2.000000
-0.930153,2.000000
-0.911401,2.000000
-0.892324,2.000000
-0.872921,2.000000
-0.853174,2.000000
-0.833125,2.000000
-0.812718,2.000000
-0.789083,2.000000
-0.770892,2.000000
-0.749490,2.000000
-0.357941,1.999959
-0.330203,1.999947
-0.302459,1.999936
-0.274180,1.999924
-0.245463,1.999913
-0.216396,1.999900
-0.186947,1.999891
-0.157110,1.999880
-0.126856,1.999873
-0.096204,1.999865
-0.065180,1.999862
-0.033771,1.999859
-0.001958,1.999862
0.030258,1.999865
0.062882,1.999876
0.640978,2.001101
0.680958,2.001285
0.721143,2.001490
0.761410,2.001709
0.802684,2.001956
0.843929,2.002218
0.885900,2.002509
0.928312,2.002820
0.971450,2.003164
1.014936,2.003531
1.058712,2.003929
1.102530,2.004349
1.147648,2.004814
1.192338,2.005298
1.237932,2.005827
2.032838,2.020223
2.086706,2.021603
2.142319,2.023076
2.195728,2.024560
2.250933,2.026146
2.306685,2.027820
2.362882,2.029565
2.419555,2.031402
2.477115,2.033331
2.535045,2.035355
2.593102,2.037450
2.651760,2.039654
2.710580,2.041936
2.769698,2.044320
2.829629,2.046814
3.852809,2.103889
3.920719,2.108725
3.988971,2.113718
4.057702,2.118899
4.126949,2.124259
4.196611,2.129810
4.266618,2.135537
4.337207,2.141477
4.408186,2.147607
4.479581,2.153947
4.551449,2.160493
4.623726,2.167258
4.696428,2.174235
4.769605,2.181448
4.843198,2.188883
6.078022,2.343696
